Location_Info,Latitude,Longitude,Date,WL(mbgl)
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Punjab Amritsar Rayya Beas,31.51528,75.30000,20-08-18,14.9
Punjab Amritsar Tarsikka Naya Tandel,31.66667,75.16389,20-08-18,13.4
Punjab Barnala Barnala Barnala,30.36250,75.52500,20-08-18,40.0
Punjab Barnala Mehal Kalan Mahal Kalan,30.52278,75.55917,20-08-18,35.9
Punjab Barnala Sehna Bhadaur,30.47500,75.32167,20-08-18,30.8
Punjab Bathinda Bathinda Balluana,30.22083,74.78333,20-08-18,5.5
Punjab Bathinda Bathinda Deratapp,30.25833,74.93611,20-08-18,6.4
Punjab Bathinda Bathinda Gulabgarh,30.15000,75.00000,20-08-18,14.7
Punjab Bathinda Bathinda Kotamir,30.11250,75.00833,20-08-18,15.4
Punjab Bathinda Bhagta Bhaika Dialpura,30.40417,75.13444,20-08-18,28.7
Punjab Bathinda Bhagta Bhaika Dialpura,30.39583,75.13333,20-08-18,30.1
Punjab Bathinda Bhagta Bhaika Kothaguru,30.43361,75.09972,20-08-18,27.0
Punjab Bathinda Goniana Ablu,30.33889,74.78972,20-08-18,15.2
Punjab Bathinda Goniana Ganga,30.36194,74.83472,20-08-18,17.2
Punjab Bathinda Goniana Nahinwala,30.30556,74.90972,20-08-18,17.0
Punjab Bathinda Maur Maisar Khana,30.10556,75.18056,20-08-18,17.6
Punjab Bathinda Nathana Phulla,30.29750,75.11278,20-08-18,23.0
Punjab Bathinda Phul Dhapali,30.36250,75.24167,20-08-18,27.6
Punjab Bathinda Phul Dhapali,30.36250,75.24167,20-08-18,29.2
Punjab Bathinda Rampura Badiala,30.23500,75.34778,20-08-18,31.9
Punjab Bathinda Rampura Jhanduke,30.16389,75.15000,20-08-18,25.9
Punjab Bathinda Sangat Jassi Bhagwali,30.06806,74.80139,20-08-18,7.4
Punjab Bathinda Sangat Raike Kalan,30.13056,74.66806,20-08-18,3.6
Punjab Bathinda Sangat Sangat Kallan,30.09139,74.82889,20-08-18,7.8
Punjab Bathinda Talwandi Sabo Bhagibandar,30.03056,75.06667,20-08-18,9.6
Punjab Bathinda Talwandi Sabo Guruar,29.99306,75.09167,20-08-18,10.1
Punjab Bathinda Talwandi Sabo Jajjal,29.96389,75.03333,20-08-18,10.0
Punjab Bathinda Talwandi Sabo Kalla Bandar,30.06944,75.00000,20-08-18,5.9
Punjab Faridkot Faridkot Aryan Wala,30.72389,74.70028,20-08-18,2.6
Punjab Faridkot Faridkot Chahd Baja,30.73944,74.86222,20-08-18,18.5
Punjab Faridkot Faridkot Jandahib,30.68972,74.52722,20-08-18,4.6
Punjab Faridkot Faridkot Killi,30.78583,74.54611,20-08-18,4.6
Punjab Faridkot Faridkot Mehmuana,30.70833,74.65556,20-08-18,0.9
Punjab Faridkot Faridkot Mumra,30.79333,74.59000,20-08-18,6.9
Punjab Faridkot Faridkot Sadiq,30.70694,74.59028,20-08-18,5.2
Punjab Faridkot Faridkot Sheringh Wala,30.67056,74.62306,20-08-18,3.5
Punjab Faridkot Faridkot Sukhwala,30.64639,74.63944,20-08-18,2.4
Punjab Faridkot Faridkot Tehna,30.69000,74.79056,20-08-18,12.9
Punjab Faridkot Jaitu Baja Khana,30.45417,74.98333,20-08-18,20.3
Punjab Faridkot Jaitu Karirwali,30.40556,74.82778,20-08-18,14.7
Punjab Faridkot Jaitu Matta,30.48111,74.83833,20-08-18,10.1
Punjab Faridkot Kot Kapura Beedikhanwala,30.60833,74.86556,20-08-18,10.0
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Punjab Faridkot Kot Kapura Dhilwan Kalan,30.57083,74.86667,20-08-18,11.1
Punjab Faridkot Kot Kapura Kot Kapura,30.58333,74.83333,20-08-18,8.4
Punjab Faridkot Kot Kapura Nangal,30.66611,74.85861,20-08-18,11.3
Punjab Faridkot Kot Kapura Waraarka,30.55194,74.75417,20-08-18,4.3
Punjab Fatehgarh Sahib Amloh Bhaddal Tuha,30.59083,76.23333,20-08-18,27.2
Punjab Fatehgarh Sahib Bassi Pathana Bassi Pathana,30.71250,76.37778,20-08-18,21.7
Punjab Fatehgarh Sahib Bassi Pathana Bhateri,30.70000,76.53750,20-08-18,35.2
Punjab Fatehgarh Sahib Bassi Pathana Chunni Kalan,30.71528,76.49361,20-08-18,15.0
Punjab Fatehgarh Sahib Bassi Pathana Fatehgarhahib,30.66667,76.34583,20-08-18,22.5
Punjab Fatehgarh Sahib Khera Badalialasingh,30.64167,76.51667,20-08-18,41.9
Punjab Fatehgarh Sahib Khera Bhagrana,30.61111,76.57778,20-08-18,3.9
Punjab Fatehgarh Sahib Khera Pawala,30.63444,76.60972,20-08-18,9.8
Punjab Fatehgarh Sahib Sirhind Nalini,30.50000,76.42500,20-08-18,24.0
Punjab Fazilka Abohar Abohar,30.14778,74.19167,20-08-18,3.2
Punjab Fazilka Abohar Bazirdpura,29.95833,74.38333,20-08-18,7.6
Punjab Fazilka Abohar Kundal,30.21528,74.26917,20-08-18,1.2
Punjab Fazilka Abohar Sitoganno,30.03750,74.34583,20-08-18,2.2
Punjab Fazilka Arniwala Shiekh Subhan Dipulana,30.45278,74.09861,20-08-18,7.6
Punjab Fazilka Khuian Sarwar Alamgarh,30.12667,74.15833,20-08-18,1.4
Punjab Fazilka Khuian Sarwar Arniwala,30.28194,74.02778,20-08-18,2.9
Punjab Fazilka Khuian Sarwar Danewalatkosi,30.19861,74.03750,20-08-18,4.1
Punjab Fazilka Khuian Sarwar Khuiansarwar,30.11278,74.07778,20-08-18,1.7
Punjab Fazilka Khuian Sarwar Nihalkhera,30.23778,74.13778,20-08-18,2.9
Punjab Ferozepur Firozpur Mohre Wala,30.85722,74.57806,20-08-18,7.8
Punjab Ferozepur Ghall Khurd Piyarana,30.85556,74.66667,20-08-18,5.9
Punjab Ferozepur Guru Har Sahai Sohangarh Ratte,30.60139,74.38889,20-08-18,2.7
Punjab Ferozepur Guru Har Sahai Swah Wala,30.62750,74.31028,20-08-18,11.5
Punjab Ferozepur Makhu Lauhke Kalan,31.06306,74.84583,20-08-18,23.4
Punjab Ferozepur Mamdot Malsian,30.81667,74.38056,20-08-18,14.0
Punjab Gurdaspur Batala Bhagowal,31.89583,75.16250,20-08-18,8.5
Punjab Gurdaspur Dera Baba Nanak Dera Bassi,32.01250,75.03333,20-08-18,7.3
Punjab Gurdaspur Dera Baba Nanak Mullowali,31.99167,75.00833,20-08-18,5.2
Punjab Gurdaspur Dinanagar Dinanagar,32.14167,75.47500,20-08-18,3.9
Punjab Gurdaspur Dorangla Galri,32.12500,75.33611,20-08-18,4.5
Punjab Gurdaspur Fatehgarh Churian Fatehgarhchuria,31.86389,74.95833,20-08-18,11.3
Punjab Gurdaspur Fatehgarh Churian Ghania Kebangar,31.86667,75.05000,20-08-18,9.5
Punjab Gurdaspur Gurdaspur Pandoritalab,32.05278,75.51250,20-08-18,2.4
Punjab Gurdaspur Kahnuwan Saidowal Kalan,31.98028,75.51944,20-08-18,3.9
Punjab Gurdaspur Kahnuwan Sathial,31.90000,75.43333,20-08-18,13.5
Punjab Gurdaspur Kalanaur Kalanaur,32.01667,75.13333,20-08-18,7.3
Punjab Gurdaspur Kalanaur Salehchak,32.05000,75.18333,20-08-18,5.1
Punjab Gurdaspur Qadian Harchowal,31.78806,75.43028,20-08-18,14.1
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Punjab Gurdaspur Sri Hargobindpur Dekoha,31.65833,75.38333,20-08-18,17.0
Punjab Hoshiarpur Bhunga Garh Di Wala,31.75000,75.74167,20-08-18,14.8
Punjab Hoshiarpur Dasuya Durimiwal,31.83194,75.75139,20-08-18,7.3
Punjab Hoshiarpur Garhshankar Garhshankar,31.25000,76.05000,20-08-18,26.7
Punjab Hoshiarpur Garhshankar Simbli,31.14306,76.17833,20-08-18,22.2
Punjab Hoshiarpur Hajipur Dagan,31.95139,75.71500,20-08-18,11.2
Punjab Hoshiarpur Hajipur Hazipur,31.97222,75.75000,20-08-18,5.9
Punjab Hoshiarpur Hajipur Nagal Bihala,31.90833,75.70833,20-08-18,12.5
Punjab Hoshiarpur Hajipur Pan Khuh,32.02083,75.68750,20-08-18,3.5
Punjab Hoshiarpur Hajipur Sibo Chak,31.98694,75.73639,20-08-18,6.7
Punjab Hoshiarpur Hoshiarpur-I Sham Chaurasi,31.50139,75.74861,20-08-18,14.7
Punjab Hoshiarpur Hoshiarpur-Ii Chohal,31.61111,75.97222,20-08-18,3.5
