Location_Info,Latitude,Longitude,Date,WL(mbgl)
Madhya Pradesh Khandwa (East Nimar) Punasa Thapana,22.22222,76.08722,31-08-15,7.5
Madhya Pradesh Khandwa (East Nimar) Punasa Udaipur,22.22583,76.40278,31-08-15,6.2
Madhya Pradesh Khargone (West Nimar) Barwah Amba,22.04278,75.94583,31-08-15,3.4
Madhya Pradesh Khargone (West Nimar) Barwah Balwara,22.39417,75.97500,31-08-15,1.7
Madhya Pradesh Khargone (West Nimar) Barwah Barwah,22.25389,76.03500,31-08-15,6.9
Madhya Pradesh Khargone (West Nimar) Barwah Sanawad,22.17333,76.07111,31-08-15,2.9
Madhya Pradesh Khargone (West Nimar) Bhagvanpura Bhulwani,21.54833,75.48139,31-08-15,0.4
Madhya Pradesh Khargone (West Nimar) Bhagvanpura Dhulkot,21.60972,75.55278,31-08-15,7.0
Madhya Pradesh Khargone (West Nimar) Bhagvanpura Ghatti,21.72278,75.66722,31-08-15,6.9
Madhya Pradesh Khargone (West Nimar) Bhikangaon Bamnala,21.82528,75.85306,31-08-15,9.4
Madhya Pradesh Khargone (West Nimar) Bhikangaon Bhikangaon,21.86194,75.95583,31-08-15,4.9
Madhya Pradesh Khargone (West Nimar) Bhikangaon Daudwa,22.02056,76.13694,31-08-15,7.1
Madhya Pradesh Khargone (West Nimar) Gogawan Divalgaon,21.82917,75.74278,31-08-15,8.2
Madhya Pradesh Khargone (West Nimar) Gogawan Gogaon,21.91806,75.74444,31-08-15,9.1
Madhya Pradesh Khargone (West Nimar) Kasrawad Kasrawad,22.12389,75.60833,31-08-15,2.4
Madhya Pradesh Khargone (West Nimar) Kasrawad Kasrawad,22.12361,75.60833,31-08-15,1.8
Madhya Pradesh Khargone (West Nimar) Kasrawad Sawda,22.03056,75.62889,31-08-15,1.4
Madhya Pradesh Khargone (West Nimar) Khargone Khargone,21.82778,75.61944,31-08-15,11.6
Madhya Pradesh Khargone (West Nimar) Khargone Un,21.82139,75.45056,31-08-15,2.4
Madhya Pradesh Khargone (West Nimar) Maheshwar Baddiya,22.23389,75.94833,31-08-15,2.5
Madhya Pradesh Khargone (West Nimar) Maheshwar Dhargaon,22.20917,75.59722,31-08-15,7.2
Madhya Pradesh Khargone (West Nimar) Maheshwar Maheshwar,22.17778,75.58750,31-08-15,4.2
Madhya Pradesh Khargone (West Nimar) Maheshwar Maheswar,22.17917,75.58750,31-08-15,6.7
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Madhya Pradesh Khargone (West Nimar) Maheshwar Piplyabuzrug,22.23389,75.86139,31-08-15,2.2
Madhya Pradesh Khargone (West Nimar) Segaon Segaon,21.85694,75.32889,31-08-15,2.6
Madhya Pradesh Maihar Amarpatan Amarpatan,24.31444,80.97556,31-08-15,20.9
Madhya Pradesh Maihar Amarpatan Amarpatan,24.31444,80.97556,31-08-15,7.9
Madhya Pradesh Maihar Amarpatan Kakra,24.35278,81.03889,31-08-15,8.0
Madhya Pradesh Maihar Amarpatan Kemar,24.48694,81.19500,31-08-15,3.7
Madhya Pradesh Maihar Amarpatan Mauhari Katra,24.44389,81.11806,31-08-15,1.6
Madhya Pradesh Maihar Amarpatan Mukundpur,24.42333,81.24722,31-08-15,8.8
Madhya Pradesh Maihar Maihar Amdara,24.10389,80.57639,31-08-15,7.7
Madhya Pradesh Maihar Maihar Bhadanpur,24.16667,80.82250,31-08-15,5.9
Madhya Pradesh Maihar Maihar Ghunwara,24.14722,80.63167,31-08-15,3.6
Madhya Pradesh Maihar Maihar Jhukehi,24.00417,80.42583,31-08-15,7.3
Madhya Pradesh Maihar Maihar Kusendi,24.17139,80.67722,31-08-15,4.3
Madhya Pradesh Maihar Maihar Maihar,24.25972,80.76444,31-08-15,6.9
Madhya Pradesh Maihar Maihar Maihar,24.26000,80.76111,31-08-15,2.1
Madhya Pradesh Maihar Maihar Naraura,24.27722,80.84111,31-08-15,2.9
Madhya Pradesh Maihar Maihar Parasmaniya,24.25972,80.76444,31-08-15,5.7
Madhya Pradesh Maihar Maihar Rivara,24.12639,80.86806,31-08-15,5.1
Madhya Pradesh Maihar Maihar Sabhaganj,24.03500,80.45583,31-08-15,4.0
Madhya Pradesh Maihar Ramnagar Devra,24.19444,80.99694,31-08-15,3.0
Madhya Pradesh Maihar Ramnagar Gorsari,24.23750,81.03500,31-08-15,8.9
Madhya Pradesh Maihar Ramnagar Govindpur,24.23028,81.18278,31-08-15,5.3
Madhya Pradesh Maihar Ramnagar Jowa,24.15722,80.93833,31-08-15,4.2
Madhya Pradesh Maihar Ramnagar Ramnagar,24.19611,81.15111,31-08-15,5.5
Madhya Pradesh Maihar Ramnagar Sagauni,24.26417,81.20278,31-08-15,6.2
Madhya Pradesh Mandla Bichhiya Bichhia,22.45167,80.70000,31-08-15,2.7
Madhya Pradesh Mandla Bichhiya Sijhora,22.42611,80.77722,31-08-15,2.1
Madhya Pradesh Mandla Bijadandi Kalpi,22.91889,80.19722,31-08-15,3.5
Madhya Pradesh Mandla Bijadandi Khamher Kheda,22.98194,80.15056,31-08-15,1.2
Madhya Pradesh Mandla Ghughri Ghughri,22.67778,80.69000,31-08-15,2.2
Madhya Pradesh Mandla Mandla Devgaon,22.73917,80.52500,31-08-15,4.9
Madhya Pradesh Mandla Mandla Gwari,22.71250,80.34167,31-08-15,3.1
Madhya Pradesh Mandla Mandla Khari,22.79278,80.41111,31-08-15,1.9
Madhya Pradesh Mandla Mandla Mahania Patpara,22.68472,80.47694,31-08-15,1.7
Madhya Pradesh Mandla Mandla Maharajpur,22.57528,80.35500,31-08-15,0.2
Madhya Pradesh Mandla Mandla Mandla,22.60000,80.36889,31-08-15,8.7
Madhya Pradesh Mandla Mandla Padmi Choraha,22.55000,80.41028,31-08-15,1.6
Madhya Pradesh Mandla Mandla Pathiri Patpara,22.60833,80.47056,31-08-15,3.8
Madhya Pradesh Mandla Mandla Ramnagar,22.61389,80.52083,31-08-15,1.7
Madhya Pradesh Mandla Mandla Rehgaon,22.74944,80.57722,31-08-15,3.4
Madhya Pradesh Mandla Mawai Mangli,22.28806,80.99861,31-08-15,1.1
Madhya Pradesh Mandla Mawai Motinala,22.34528,80.90333,31-08-15,4.6
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Madhya Pradesh Mandla Mohgaon Chabi,22.82500,80.70000,31-08-15,3.0
Madhya Pradesh Mandla Mohgaon Indira,22.76111,80.59722,31-08-15,0.5
Madhya Pradesh Mandla Nainpur Anjania,22.49361,80.50917,31-08-15,1.6
Madhya Pradesh Mandla Nainpur Bamhni,22.47639,80.36778,31-08-15,1.0
Madhya Pradesh Mandla Nainpur Dithori,22.51944,80.19889,31-08-15,1.8
Madhya Pradesh Mandla Nainpur Nainpur,22.42778,80.10972,31-08-15,2.8
Madhya Pradesh Mandla Nainpur Pindrai,22.51250,80.04833,31-08-15,2.1
Madhya Pradesh Mandla Nainpur Rampuri,22.40861,80.26417,31-08-15,2.7
Madhya Pradesh Mandla Nainpur Rampuri,22.40583,80.24722,02-08-15,1.5
Madhya Pradesh Mandla Nainpur Subhariya,22.52611,80.27083,31-08-15,2.3
Madhya Pradesh Mandla Nainpur Surajpura,22.52083,80.13750,31-08-15,1.1
Madhya Pradesh Mandla Narayanganj Babaliya,22.88278,80.41444,31-08-15,1.3
Madhya Pradesh Mandla Narayanganj Kudomali,22.87917,80.21333,31-08-15,1.1
Madhya Pradesh Mandla Narayanganj Mangalganj,22.75028,80.31056,31-08-15,1.3
Madhya Pradesh Mandla Niwas Manikpur,23.09167,80.50000,31-08-15,0.7
Madhya Pradesh Mandla Niwas Niwas,23.03917,80.43944,31-08-15,3.2
Madhya Pradesh Mandla Niwas Niwas,23.03917,80.43944,31-08-15,3.2
Madhya Pradesh Mandla Niwas Niwas,23.03917,80.44222,31-08-15,3.1
Madhya Pradesh Mandsaur Bhanpura Babulda,24.47417,75.68806,31-08-15,6.2
Madhya Pradesh Mandsaur Bhanpura Badodiya,24.59917,75.68917,31-08-15,4.3
Madhya Pradesh Mandsaur Bhanpura Bhanpura,24.50889,75.74444,31-08-15,5.0
Madhya Pradesh Mandsaur Bhanpura Bhanpura,24.51167,75.74944,31-08-15,2.1
Madhya Pradesh Mandsaur Bhanpura Dudhkheri,24.43139,75.68472,31-08-15,2.5
Madhya Pradesh Mandsaur Bhanpura Sandhara,24.56139,75.86750,31-08-15,6.3
Madhya Pradesh Mandsaur Garoth Barkheranayak,24.21944,75.52194,31-08-15,7.9
Madhya Pradesh Mandsaur Garoth Dharmarajeswar,24.19250,75.50000,31-08-15,8.2
Madhya Pradesh Mandsaur Garoth Garoth,24.33333,75.65472,31-08-15,2.2
Madhya Pradesh Mandsaur Garoth Shamgarh,24.19000,75.63000,31-08-15,1.5
Madhya Pradesh Mandsaur Garoth Shamgarh,24.19139,75.64000,31-08-15,2.9
Madhya Pradesh Mandsaur Malhargarh Malhargarh,24.28500,74.98667,31-08-15,2.2
Madhya Pradesh Mandsaur Malhargarh Malhargarh,24.27806,74.99111,31-08-15,6.2
Madhya Pradesh Mandsaur Malhargarh Narayangarh,24.26667,75.05389,31-08-15,4.1
Madhya Pradesh Mandsaur Malhargarh Pipaliya,24.27167,75.05333,31-08-15,4.3
Madhya Pradesh Mandsaur Malhargarh Pipaliya,24.19639,75.00833,31-08-15,2.8
Madhya Pradesh Mandsaur Malhargarh Pipliyamandi,24.20056,75.01056,31-08-15,6.5
Madhya Pradesh Mandsaur Mandsaur Basakheda,24.03167,75.19806,31-08-15,4.6
Madhya Pradesh Mandsaur Mandsaur Botalganj,24.14833,75.02917,31-08-15,3.7
Madhya Pradesh Mandsaur Mandsaur Chirmoliya,24.02222,75.25694,31-08-15,3.8
Madhya Pradesh Mandsaur Mandsaur Daloda,23.95500,75.10000,31-08-15,7.2
